Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,"CCAFS,SLC-40",Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success,F9 v1.07B0003.18,Failure,4 June 2010,18:45
2,"CCAFS,SLC-40",Dragondemo flight C1(Dragon C101),0,LEO(ISS),NASA(COTS)NRO,Success,F9 v1.07B0004.18,Failure,8 December 2010,15:43
3,"CCAFS,SLC-40",Dragondemo flight C2+[18](Dragon C102),525 kg,LEO(ISS),NASA(COTS),Success,F9 v1.07B0005.18,"No attempt
",22 May 2012,07:44
4,"CCAFS,SLC-40",SpaceX CRS-1[22](Dragon C103),"4,700 kg",LEO(ISS),NASA(CRS),Success,F9 v1.07B0006.18,No attempt,8 October 2012,00:35
5,"CCAFS,SLC-40",SpaceX CRS-2[22](Dragon C104),"4,877 kg",LEO(ISS),NASA(CRS),Success,F9 v1.07B0007.18,"No attempt
",1 March 2013,15:10
6,"VAFB,SLC-4E",CASSIOPE[22][31],500 kg,Polar orbitLEO,MDA,Success,F9 v1.17B10038,Uncontrolled,29 September 2013,16:00
7,"CCAFS,SLC-40",SES-8[22][35][36],"3,170 kg",GTO,SES,Success,F9 v1.1B1004,No attempt,3 December 2013,22:41
8,"CCAFS,SLC-40",Thaicom 6[22],"3,325 kg",GTO,Thaicom,Success,F9 v1.1,No attempt,6 January 2014,22:06
9,"Cape Canaveral,LC-40",SpaceX CRS-3[22](Dragon C105),"2,296 kg",LEO(ISS),NASA(CRS),Success,F9 v1.1,Controlled,18 April 2014,19:25
10,"Cape Canaveral,LC-40",Orbcomm-OG2-1(6 satellites)[22],"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,14 July 2014,15:15
11,"Cape Canaveral,LC-40",AsiaSat 8[22][54][55],"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,No attempt,5 August 2014,08:00
12,"Cape Canaveral,LC-40",AsiaSat 6[22][54][58],"4,428 kg",GTO,AsiaSat,Success,F9 v1.1[,"No attempt
",7 September 2014,05:00
13,"Cape Canaveral,LC-40",SpaceX CRS-4[22](DragonC106.1),"2,216 kg",LEO(ISS),NASA(CRS),Success,F9 v1.1[,Uncontrolled,21 September 2014,05:52
14,"Cape Canaveral,LC-40",SpaceX CRS-5[68](Dragon C107),"2,395 kg",LEO(ISS),NASA(CRS),Success,F9 v1.1[,Failure ,10 January 2015,09:47
15,"Cape Canaveral,LC-40",DSCOVR[68][73],570 kg,HEO(Sun–Earth L1insertion),USAFNASANOAA,Success,F9 v1.1[,Controlled,11 February 2015,23:03
16,"Cape Canaveral,LC-40",ABS-3AEutelsat 115 West B[68],"4,159 kg",GTO,ABSEutelsat,Success,F9 v1.1[,No attempt,2 March 2015,03:50
17,"Cape Canaveral,LC-40",SpaceX CRS-6[68](DragonC108.1),"1,898 kg",LEO(ISS),NASA(CRS),Success,F9 v1.1[,Failure,14 April 2015,20:10
18,"Cape Canaveral,LC-40",TürkmenÄlem 52°E / MonacoSAT[68][87],"4,707 kg",GTO,Turkmenistan NationalSpace Agency[88],Success,F9 v1.1[,No attempt,27 April 2015,23:03
19,"Cape Canaveral,LC-40",SpaceX CRS-7[68](Dragon C109),"1,952 kg",LEO(ISS),NASA(CRS),Failure,F9 v1.1[,Precluded,28 June 2015,14:21
20,"Cape Canaveral,LC-40",Orbcomm-OG2-2(11 satellites)[22][97],"2,034 kg",LEO,Orbcomm,Success,F9 FT[,Success,22 December 2015,01:29
21,"VAFB,SLC-4E",Jason-3[68][104],553 kg,LEO,NASA(LSP)NOAACNES,Success,F9 v1.1[,Failure,17 January 2016,18:42
22,"Cape Canaveral,LC-40",SES-9[68][109][110],"5,271 kg",GTO,SES,Success,F9 FT[,Failure,4 March 2016,23:35
23,"Cape Canaveral,LC-40",SpaceX CRS-8[68][110](Dragon C110.1),"3,136 kg",LEO(ISS),NASA(CRS),Success,F9 FT[,Success,8 April 2016,20:43
24,"Cape Canaveral,LC-40",JCSAT-14[123],"4,696 kg",GTO,SKY Perfect JSAT Group,Success,F9 FT[,Success,6 May 2016,05:21
25,"Cape Canaveral,LC-40",Thaicom 8[130][131],"3,100 kg",GTO,Thaicom,Success,F9 FT[,Success,27 May 2016,21:39
26,"Cape Canaveral,LC-40",ABS-2AEutelsat 117 West B[68],"3,600 kg",GTO,ABSEutelsat,Success,F9 FT[,Failure,15 June 2016,14:29
27,"Cape Canaveral,LC-40",SpaceX CRS-9[68][141](Dragon C111.1),"2,257 kg",LEO(ISS),NASA(CRS),Success,F9 FT[,Success,18 July 2016,04:45
28,"Cape Canaveral,LC-40",JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,Success,F9 FT[,Success,14 August 2016,05:26
29,"VAFB,SLC-4E",Iridium NEXT-1(10 satellites)[152][153],"9,600 kg",PolarLEO,Iridium Communications,Success,F9 FT[,Success,14 January 2017,17:54
30,"KSC,LC-39A",SpaceX CRS-10[141](Dragon C112.1),"2,490 kg",LEO(ISS),NASA(CRS),Success,F9 FT[,Success,19 February 2017,14:39
31,"KSC,LC-39A",EchoStar 23,"5,600 kg",GTO,EchoStar,Success,F9 FT[,No attempt,16 March 2017,06:00
32,"KSC,LC-39A",SES-10[109][168],"5,300 kg",GTO,SES,Success,F9 FT♺[,Success,30 March 2017,22:27
33,"KSC,LC-39A",NROL-76[174],C,LEO[175],NRO,Success,F9 FT[,Success,1 May 2017,11:15
34,"KSC,LC-39A",Inmarsat-5 F4[180],"6,070 kg",GTO,Inmarsat,Success,F9 FT[,No attempt,15 May 2017,23:21
35,"KSC,LC-39A",SpaceX CRS-11[141](Dragon C106.2 ♺),"2,708 kg",LEO(ISS),NASA(CRS),Success,F9 FT[,Success,3 June 2017,21:07
36,"KSC,LC-39A",BulgariaSat-1[196],"3,669 kg",GTO,Bulsatcom,Success,F9 FTB1029.2195,Success,23 June 2017,19:10
37,"VAFB,SLC-4E",Iridium NEXT-2(10 satellites),"9,600 kg",LEO,Iridium Communications,Success,F9 FT[,Success,25 June 2017,20:25
38,"KSC,LC-39A",Intelsat 35e[201],"6,761 kg",GTO,Intelsat,Success,F9 FT[,No attempt,5 July 2017,23:38
39,"KSC,LC-39A",SpaceX CRS-12[141](Dragon C113.1),"3,310 kg",LEO(ISS),NASA(CRS),Success,F9 B4[,Success,14 August 2017,16:31
40,"VAFB,SLC-4E",Formosat-5[210][211],475 kg,SSO,NSPO,Success,F9 FT[,Success,24 August 2017,18:51
41,"KSC,LC-39A",Boeing X-37BOTV-5,"4,990 kg",LEO,USAF,Success,F9 B4[,Success,7 September 2017,14:00
42,"VAFB,SLC-4E",Iridium NEXT-3(10 satellites)[152],"9,600 kg",PolarLEO,Iridium Communications,Success,F9 B4[,Success,9 October 2017,12:37
43,"KSC,LC-39A",SES-11/EchoStar 105,"5,200 kg",GTO,SES S.A.EchoStar,Success,F9 FTB1031.2220,Success,11 October 2017,22:53:00
44,"KSC,LC-39A",Koreasat 5A[222],"3,500 kg",GTO,KT Corporation,Success,F9 B4[,Success,30 October 2017,19:34
45,"Cape Canaveral,SLC-40",SpaceX CRS-13[141](Dragon C108.2 ♺),"2,205 kg",LEO(ISS),NASA(CRS),Success,F9 FTB1035.2227,Success,15 December 2017,15:36
46,"VAFB,SLC-4E",Iridium NEXT-4(10 satellites)[152],"9,600 kg",PolarLEO,Iridium Communications,Success,F9 FTB1036.2227,Controlled,23 December 2017,01:27
47,"CCAFS,SLC-40",Zuma[238][239][240],C,LEO,Northrop Grumman[f][238],Success,F9 B4[,Success,8 January 2018,01:00
48,"CCAFS,SLC-40",GovSat-1(SES-16)[246],"4,230 kg",GTO,SES,Success,F9 FTB1032.2245,Controlled,31 January 2018,21:25
49,"VAFB,SLC-4E",Paz[269]Tintin A and Tintin B[270],"2,150 kg",SSO,HisdesatexactEarthSpaceX,Success,F9 FTB1038.2268,No attempt,22 February 2018,14:17
50,"CCAFS,SLC-40",Hispasat 30W-6[277]PODSat[278],"6,092 kg",GTO,Hispasat[277]NovaWurks,Success,F9 B4[,No attempt,6 March 2018,05:33
